"class","term","property","parent term","depth","term kind","field tier","abstract","description","rdfs:comment","json path","reached via paths"
"Inference","variableMeasured.constraintProperty.name","name","variableMeasured.constraintProperty","3","validation property","","","The name of the item.","","hits[Inference].validation.properties.variableMeasured.anyOf[3].properties.constraintProperty.anyOf[1].properties.name","4"
"Inference","variableMeasured.constraintProperty.identifier","identifier","variableMeasured.constraintProperty","3","validation property","","","The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details.","","hits[Inference].validation.properties.variableMeasured.anyOf[3].properties.constraintProperty.anyOf[1].properties.identifier","4"
"Inference","variableMeasured.constraintProperty.url","url","variableMeasured.constraintProperty","3","validation property","","","URL of the item.","","hits[Inference].validation.properties.variableMeasured.anyOf[3].properties.constraintProperty.anyOf[1].properties.url","4"
"Inference","variableMeasured.constraintProperty.termCode","termCode","variableMeasured.constraintProperty","3","validation property","","","A code that identifies this DefinedTerm within a DefinedTermSet.","","hits[Inference].validation.properties.variableMeasured.anyOf[3].properties.constraintProperty.anyOf[1].properties.termCode","4"
"Inference","variableMeasured.constraintProperty.description","description","variableMeasured.constraintProperty","3","validation property","","","A description of the item.","","hits[Inference].validation.properties.variableMeasured.anyOf[3].properties.constraintProperty.anyOf[1].properties.description","4"
"Inference","variableMeasured.constraintProperty.inDefinedTermSet","inDefinedTermSet","variableMeasured.constraintProperty","3","validation property","","","A DefinedTermSet that contains this term.","","hits[Inference].validation.properties.variableMeasured.anyOf[3].properties.constraintProperty.anyOf[1].properties.inDefinedTermSet","4"
"Inference","variableMeasured.constraintProperty.originalName","originalName","variableMeasured.constraintProperty","3","validation property","","","The original name of the item, before any metadata standardization/normalization","","hits[Inference].validation.properties.variableMeasured.anyOf[3].properties.constraintProperty.anyOf[1].properties.originalName","4"
"Inference","variableMeasured.constraintProperty.isCurated","isCurated","variableMeasured.constraintProperty","3","validation property","","","A boolean indicator describing whether or not this DefinedTerm was curated as the value of a property.","","hits[Inference].validation.properties.variableMeasured.anyOf[3].properties.constraintProperty.anyOf[1].properties.isCurated","4"
"Inference","observationAbout","observationAbout","","1","validation property","required","","The [[observationAbout]] property identifies an entity, often a [[Place]], associated with an [[Observation]].","","hits[Inference].validation.properties.observationAbout","1"
"Inference","observationAbout.description","description","observationAbout","2","validation property","","","Description of the referenced work","","hits[Inference].validation.properties.observationAbout.anyOf[0].properties.description","2"
"Inference","observationAbout.name","name","observationAbout","2","validation property","","","Name or title","","hits[Inference].validation.properties.observationAbout.anyOf[0].properties.name","2"
"Inference","observationAbout.identifier","identifier","observationAbout","2","validation property","","","An identifier associated with the work","","hits[Inference].validation.properties.observationAbout.anyOf[0].properties.identifier","2"
"Inference","observationAbout.url","url","observationAbout","2","validation property","","","The url of the work","","hits[Inference].validation.properties.observationAbout.anyOf[0].properties.url","2"
"Inference","observationAbout.name","name","observationAbout","2","validation property","","","The name of the item.","","hits[Inference].validation.properties.observationAbout.anyOf[2].properties.name","2"
"Inference","observationAbout.identifier","identifier","observationAbout","2","validation property","","","The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details.","","hits[Inference].validation.properties.observationAbout.anyOf[2].properties.identifier","2"
"Inference","observationAbout.url","url","observationAbout","2","validation property","","","URL of the item.","","hits[Inference].validation.properties.observationAbout.anyOf[2].properties.url","2"
